,Region,District,EPA,Lat,Lon,Altitude,Gender,Literacy,Number_followers,Date_trained,Length,Farm_size,Sust_Ag_Activities,Types_Sust_Ag,Full_CA,Partial_CA,Agroforestry,Manure_making,Pit_planting,Sust_Other,Crops,Crops_Maize,Crops_Millet,Crops_Sorghum,Crops_Cassava,Crops_Sweet_Potato,Crops_European_Potato,Crops_Soya,Crops_Groundnuts,Crops_Beans,Crops_Pigeon_Pea,Crops_Cowpea,Crops_Sugarcane,Crops_Other,Vegetables,Fruit_trees,Livestock,Type_livestock,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats_Sheep,Livestock_Guinea_Fowl,Livestock_Pigs,Livestock_Other,Livestock_Rabbits,X_id
311,Central,Lilongwe,Mpingu,-14.00248,33.608295,1091.6,Female,Primary School,20,2018-08-29,276,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Soya Groundnuts Beans,1,0,0,0,0,0,1,1,1,0,0,0,0,Yes,No,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834325
312,Central,Lilongwe,Mngwangwa,-13.75768833,33.62221167,1299.9,Female,Primary School,6,2018-08-29,276,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Agroforestry Manure Making Pit Planting",1,0,1,1,1,0,Maize Sweet Potato Groundnuts Beans,1,0,0,0,1,0,0,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834328
313,Central,Lilongwe,Mngwangwa,-13.75773333,33.622165,1280.4,Male,Secondary School,30,2018-08-29,276,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Agroforestry Manure Making Pit Planting",1,0,1,1,1,0,Maize Groundnuts Beans,1,0,0,0,0,0,0,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens Other,0,1,0,1,0,0,1,0,39834333
314,Central,Lilongwe,Mngwangwa,-13.75782333,33.62204833,1225.2,Female,Primary School,15,2018-08-29,276,0.8,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",0,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans,1,0,0,0,1,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Pigs Chickens,0,1,0,1,0,1,0,0,39834337
315,Central,Lilongwe,Mngwangwa,-13.75768167,33.62191667,1238.2,Male,Primary School,20,2018-08-29,276,0.12,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",0,1,1,1,1,0,Maize Soya Beans,1,0,0,0,0,0,1,0,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834339
316,Central,Lilongwe,Mngwangwa,-13.75777333,33.62223167,1238.5,Female,Primary School,30,2014-10-30,1675,0.2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans,1,0,0,0,1,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834348
317,Central,Lilongwe,Mngwangwa,-13.75770833,33.62235667,1226.3,Male,Primary School,29,2018-10-29,215,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Agroforestry Manure Making Pit Planting",1,0,1,1,1,0,Maize Groundnuts Beans,1,0,0,0,0,0,0,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834352
318,Central,Lilongwe,Mngwangwa,-13.75782167,33.62248167,1237.6,Male,Secondary School,20,2016-06-09,1087,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Beans,1,0,0,0,0,0,0,0,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Pigs Chickens,0,1,0,1,0,1,0,0,39834355
319,Central,Lilongwe,Mngwangwa,-13.75797833,33.62245667,1240.7,Male,Secondary School,20,2014-09-23,1712,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Cow Peas,1,0,0,0,1,0,1,1,1,0,1,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834361
320,Central,Lilongwe,Mngwangwa,-13.757905,33.62248167,1251.4,Female,Primary School,12,2018-10-12,232,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Pigeon Peas Cow Peas Other,1,0,0,0,1,0,1,1,1,1,1,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834363
321,Central,Lilongwe,Mngwangwa,-13.75793667,33.62242,1250.8,Female,Secondary School,42,2018-10-12,232,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Soya Groundnuts Beans,1,0,0,0,0,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834365
322,Central,Lilongwe,Mngwangwa,-13.757745,33.62248,1278,Female,Secondary School,29,2014-09-22,1713,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Soya Groundnuts Beans,1,0,0,0,0,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834367
323,Central,Lilongwe,Mngwangwa,-13.75799333,33.62234167,1226,Male,Primary School,17,2018-08-01,304,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans,1,0,0,0,1,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Cattle Goats/Sheep Chickens,1,1,0,1,0,0,0,0,39834370
324,Central,Lilongwe,Mngwangwa,-13.758035,33.62210667,1171.7,Female,Primary School,30,2018-09-10,264,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Sweet Potato Soya Groundnuts Beans Cow Peas,1,0,0,0,1,0,1,1,1,0,1,0,0,Yes,Yes,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39834379
325,Central,Lilongwe,Mngwangwa,-13.75786167,33.62252667,1212.2,Male,Secondary School,30,2014-07-09,1788,0.4,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Manure Making Pit Planting",1,1,1,1,1,0,Maize Beans,1,0,0,0,0,0,0,0,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39834391
